config,concurrency,n_repeats,n_steps_total,tpot_mean,tpot_p50,tpot_p95,tpot_ci,ttft_mean,ttft_p50,ttft_p95,ttft_ci
TP2 H200 NVLink,1,3,760,7.688282380265843,5.930340867786925,13.635154211962664,0.6730827965197516,648.4082165524048,639.7949457168579,728.54775985082,25.660990894045444
TP2 H200 NVLink,8,3,764,10.58037545958621,10.283938070353418,14.169329475060717,0.38046231339882275,627.7302291549781,507.71156946818036,1282.591386636098,261.2385600727835
TP2 H200 NVLink,32,3,768,22.022526281520495,19.591416827864908,41.18530168697137,1.656233813658857,2249.4249812637768,1955.5354913075764,6926.099240779877,3295.800726083186
TP2 H200 NVLink,64,3,760,30.029373040302573,27.067507826255788,61.99239386433545,3.721848891252021,1407.702805053803,1091.986854871114,3859.9759499231973,1202.3670331892758
TP4 H200 NVLink,1,3,768,6.737319800708724,5.453630583548614,13.688776228162977,0.07580534218859386,633.4085175767541,654.9858649571737,675.6943662961324,26.76138390416972
TP4 H200 NVLink,8,3,764,8.502651353935143,8.35586328592553,10.744504146134256,0.34297332707076095,473.3058761992546,484.55695311228436,580.8649102846781,7.149086603667925
TP4 H200 NVLink,32,3,764,20.203336887757974,17.46379927161255,39.40287966675582,5.767460508562295,2009.040918807307,1155.9343338012695,6620.333123207092,2788.1012423526854
TP4 H200 NVLink,64,3,760,21.927752463750533,22.085622780223368,33.9474794890667,0.6940013664304802,938.1057286644897,624.7751712799072,2267.9772575696306,445.5495265050192
TP8 H200 NVLink,1,1,192,4.937686201264396,4.914944963386668,5.020647048950195,0.0,158.86356681585312,78.34196090698242,152.83354520797727,0.0
TP8 H200 NVLink,8,3,576,8.429762021162388,8.052121677743369,12.24189956939867,0.44016199626170727,114.51632032791774,90.64984321594238,325.1035054524736,22.543336713804152
TP8 H200 NVLink,32,3,576,15.143479685664893,15.200975855920277,21.29517328608829,0.565329074746738,191.94037591417631,142.13061332702637,705.8364232381185,45.23389033650007
TP8 H200 NVLink,64,3,574,16.81464463832987,17.14203590796817,22.546994367486477,0.4634699578402775,171.76635449218472,154.93762493133545,312.64559030532837,9.396213380302312
TP8 H200 NVLink,128,3,576,16.451807609071853,17.710174561454426,21.33281246904613,0.5846849205793011,180.06481188866826,161.30022207895914,321.4921673138936,15.627399062739782
TP8+EP H200 NVLink,1,1,192,5.389371088345434,5.368548621233105,5.458520008967473,0.0,82.85098026196162,102.27489471435547,119.41899061203003,0.0
TP8+EP H200 NVLink,8,3,572,8.522725540462389,8.300670389850717,11.06220939802982,0.08707109226772441,96.490167926812,113.31542332967122,151.66997909545896,2.131533827807047
TP8+EP H200 NVLink,32,3,576,15.703885740100652,16.24063474838416,21.46734901981773,1.2244742067218137,146.70579094025823,130.29460112253824,233.00292094548544,9.343657701459584
TP8+EP H200 NVLink,64,3,576,17.908035864968564,18.694572972741987,25.595205443135498,1.9008657299671656,168.89306695924864,139.17390505472818,291.1213517189026,4.135344517639232
TP8+EP H200 NVLink,128,3,576,19.561711632350452,20.99823759146631,27.324543570879207,0.8771906629640388,179.5162595808506,144.1554625829061,339.4422610600789,6.42807250494277
TP4 H100 PCIe,1,3,0,7.26,5.0,nan,0.0,118.04,nan,nan,0.0
TP4 H100 PCIe,8,3,0,12.39,17.44,nan,0.0,117.11,nan,nan,0.0
TP4 H100 PCIe,32,3,0,24.71,18.26,nan,0.0,187.06,nan,nan,0.0
TP4 H100 PCIe,64,3,0,25.96,18.71,nan,0.0,208.01,nan,nan,0.0
