config,concurrency,repeat,task_id,step_id,agent_role,tpot_ms,ttft_ms,latency_ms,prompt_tokens,completion_tokens
TP2 H200 NVLink,1,1,0,P,planner,6.031321403675509,231.9951057434082,1034.160852432251,56,134
TP2 H200 NVLink,1,1,0,E0,executor,5.6637344938336,642.5485610961914,3259.1938972473145,196,463
TP2 H200 NVLink,1,1,0,E1,executor,5.768795039772328,658.5187911987305,2746.8225955963135,663,363
TP2 H200 NVLink,1,1,0,A,aggregator,5.644761232866181,694.4384574890137,7197.2033977508545,1030,1153
TP2 H200 NVLink,1,1,1,P,planner,8.476783247555003,573.1844902038574,861.3951206207275,41,35
TP2 H200 NVLink,1,1,1,E0,executor,10.633143511685459,574.1925239562988,691.1571025848389,82,12
TP2 H200 NVLink,1,1,1,E1,executor,11.45792007446289,577.0678520202637,691.6470527648926,98,11
TP2 H200 NVLink,1,1,1,A,aggregator,7.6246387080142375,572.6752281188965,862.4114990234375,113,39
TP2 H200 NVLink,1,1,2,P,planner,5.464240807254298,571.7265605926514,1374.9699592590332,48,148
TP2 H200 NVLink,1,1,2,E0,executor,7.722808764531062,632.9858303070068,1034.571886062622,202,53
TP2 H200 NVLink,1,1,2,E1,executor,5.9670329093933105,624.3042945861816,862.9856109619141,259,41
TP2 H200 NVLink,1,1,2,A,aggregator,5.490607685512966,624.1941452026367,2403.151035308838,304,325
TP2 H200 NVLink,1,1,3,P,planner,5.349314490029978,572.0996856689453,1032.1407318115234,53,87
TP2 H200 NVLink,1,1,3,E0,executor,7.502997363055194,627.5737285614014,1032.7355861663818,146,55
TP2 H200 NVLink,1,1,3,E1,executor,8.429293831189474,628.3485889434814,1032.9546928405762,205,49
TP2 H200 NVLink,1,1,3,A,aggregator,5.643988393016698,624.0324974060059,1718.9662456512451,258,195
TP2 H200 NVLink,1,1,4,P,planner,5.570845471488105,572.2401142120361,1374.4418621063232,118,145
TP2 H200 NVLink,1,1,4,E0,executor,5.84240113535235,632.5926780700684,1719.2792892456055,269,187
TP2 H200 NVLink,1,1,4,E1,executor,5.4547061090884,623.7139701843262,1376.4634132385254,460,139
TP2 H200 NVLink,1,1,4,A,aggregator,5.665040883150968,656.731128692627,3772.503614425659,603,551
TP2 H200 NVLink,1,1,5,P,planner,5.895581480633518,572.9374885559082,1887.6521587371826,49,224
TP2 H200 NVLink,1,1,5,E0,executor,5.954032757609186,623.5902309417725,2403.846025466919,279,300
TP2 H200 NVLink,1,1,5,E1,executor,6.144668325523421,657.550573348999,1720.5781936645508,583,174
TP2 H200 NVLink,1,1,5,A,aggregator,5.5900716954696845,695.0876712799072,6855.3466796875,761,1103
TP2 H200 NVLink,1,1,6,P,planner,5.834006977652361,572.3958015441895,1546.6749668121338,55,168
TP2 H200 NVLink,1,1,6,E0,executor,5.503697917352315,630.2990913391113,7366.825342178345,229,1225
TP2 H200 NVLink,1,1,6,E1,executor,5.551845962936814,701.181173324585,1728.2726764678955,1458,186
TP2 H200 NVLink,1,1,6,A,aggregator,6.046908242361886,662.5087261199951,1382.0908069610596,1648,120
TP2 H200 NVLink,1,1,7,P,planner,6.287200450897217,576.0023593902588,1204.7224044799805,66,101
TP2 H200 NVLink,1,1,7,E0,executor,6.372581448471337,629.051685333252,1718.7631130218506,173,172
TP2 H200 NVLink,1,1,7,E1,executor,6.126756590556323,622.6739883422852,1376.265048980713,349,124
TP2 H200 NVLink,1,1,7,A,aggregator,5.717184496012444,622.5736141204834,3772.74227142334,477,552
TP2 H200 NVLink,1,1,8,P,planner,6.130119959513347,572.2284317016602,1031.9874286651611,50,76
TP2 H200 NVLink,1,1,8,E0,executor,7.10123958009662,628.4990310668945,862.839937210083,132,34
TP2 H200 NVLink,1,1,8,E1,executor,7.103522618611653,628.6871433258057,863.1033897399902,170,34
TP2 H200 NVLink,1,1,8,A,aggregator,7.086320356889204,629.0063858032227,862.8549575805664,208,34
TP2 H200 NVLink,1,1,9,P,planner,5.684455235799153,572.8237628936768,1033.2646369934082,45,82
TP2 H200 NVLink,1,1,9,E0,executor,6.267710872318434,628.5462379455566,1205.1756381988525,133,93
TP2 H200 NVLink,1,1,9,E1,executor,7.031007510859792,629.3478012084961,1205.890417098999,230,83
TP2 H200 NVLink,1,1,9,A,aggregator,5.619018505781125,623.2802867889404,1718.9888954162598,317,196
TP2 H200 NVLink,1,1,10,P,planner,6.165418011403223,668.7140464782715,1723.0005264282227,1195,172
TP2 H200 NVLink,1,1,10,E0,executor,5.762943113693083,695.8725452423096,2407.4666500091553,1373,298
TP2 H200 NVLink,1,1,10,E1,executor,20.85578441619873,655.6758880615234,697.3874568939209,1675,3
TP2 H200 NVLink,1,1,10,A,aggregator,5.67078761917224,661.0863208770752,2237.565279006958,1682,279
TP2 H200 NVLink,1,1,11,P,planner,6.067530104988499,572.4961757659912,1033.6284637451172,58,77
TP2 H200 NVLink,1,1,11,E0,executor,6.391345945178953,628.636360168457,1376.4238357543945,141,118
TP2 H200 NVLink,1,1,11,E1,executor,8.051488913741766,624.0108013153076,1034.6367359161377,263,52
TP2 H200 NVLink,1,1,11,A,aggregator,5.968296912408644,622.8492259979248,1547.9352474212646,319,156
TP2 H200 NVLink,1,1,12,P,planner,6.091552972793579,572.2579956054688,1546.9064712524414,55,161
TP2 H200 NVLink,1,1,12,E0,executor,5.527413409689198,629.1828155517578,2917.531967163086,222,415
TP2 H200 NVLink,1,1,12,E1,executor,6.606214017753142,659.125566482544,1207.4413299560547,641,84
TP2 H200 NVLink,1,1,12,A,aggregator,5.666808313618169,696.4430809020996,5830.571413040161,729,907
TP2 H200 NVLink,1,1,13,P,planner,6.514706262728063,574.4941234588623,1375.802993774414,82,124
TP2 H200 NVLink,1,1,13,E0,executor,6.552360739026751,630.9905052185059,1548.321008682251,212,141
TP2 H200 NVLink,1,1,13,E1,executor,6.58834491457258,626.4631748199463,1548.8314628601074,357,141
TP2 H200 NVLink,1,1,13,A,aggregator,5.760414516506483,625.7636547088623,2918.4086322784424,502,399
TP2 H200 NVLink,1,1,14,P,planner,6.040214089786305,694.1864490509033,1721.0228443145752,810,171
TP2 H200 NVLink,1,1,14,E0,executor,5.705416925025709,696.2113380432129,4461.786508560181,987,661
TP2 H200 NVLink,1,1,14,E1,executor,5.755194520528337,663.6829376220703,3265.030860900879,1652,453
TP2 H200 NVLink,1,1,14,A,aggregator,11.426909764607748,697.8237628936768,869.227409362793,2109,16
TP2 H200 NVLink,1,1,15,P,planner,6.94627814240508,572.5657939910889,1204.6771049499512,47,92
TP2 H200 NVLink,1,1,15,E0,executor,6.125222431139999,628.5738945007324,1718.8634872436523,145,179
TP2 H200 NVLink,1,1,15,E1,executor,8.800488931161386,626.3225078582764,863.9357089996338,328,28
TP2 H200 NVLink,1,1,15,A,aggregator,5.889628654302553,624.5014667510986,1890.7716274261475,360,216
TP2 H200 NVLink,1,1,16,P,planner,5.394349378698013,575.0443935394287,1033.5640907287598,61,86
TP2 H200 NVLink,1,1,16,E0,executor,5.887309710184733,634.8259449005127,1376.626968383789,153,127
TP2 H200 NVLink,1,1,16,E1,executor,6.962532020476927,628.265380859375,1206.15553855896,284,84
TP2 H200 NVLink,1,1,16,A,aggregator,5.665802651909506,624.929666519165,2403.99169921875,372,315
TP2 H200 NVLink,1,1,18,P,planner,5.815638771540002,574.4845867156982,1033.9200496673584,51,80
TP2 H200 NVLink,1,1,18,E0,executor,6.562009879520962,627.8119087219238,1546.4932918548584,137,141
TP2 H200 NVLink,1,1,18,E1,executor,5.95901365633364,624.1862773895264,2233.1199645996094,282,271
TP2 H200 NVLink,1,1,18,A,aggregator,5.754168537412824,658.7953567504883,4117.050647735596,557,602
TP2 H200 NVLink,1,1,19,P,planner,5.54801158444105,574.425220489502,19859.31348800659,61,3477
TP2 H200 NVLink,1,1,19,E0,executor,11.420806248982748,901.1237621307373,1072.4358558654785,3545,16
TP2 H200 NVLink,1,1,19,E1,executor,11.414813995361328,878.9150714874268,1050.1372814178467,3566,16
TP2 H200 NVLink,1,1,19,A,aggregator,11.424446105957031,877.1390914916992,1048.5057830810547,3587,16
TP2 H200 NVLink,1,1,20,P,planner,5.830329877358896,631.4051151275635,1890.756368637085,142,217
TP2 H200 NVLink,1,1,20,E0,executor,5.873713866773858,626.0786056518555,2576.1516094207764,365,333
TP2 H200 NVLink,1,1,20,E1,executor,6.189352058502565,697.8986263275146,2239.0472888946533,702,250
TP2 H200 NVLink,1,1,20,A,aggregator,5.564441846701924,699.3627548217773,8061.119318008423,956,1324
TP2 H200 NVLink,1,1,21,P,planner,5.6794568112022,576.4491558074951,1547.6362705230713,118,172
TP2 H200 NVLink,1,1,21,E0,executor,5.5794459122877855,632.176399230957,1720.1683521270752,296,196
TP2 H200 NVLink,1,1,21,E1,executor,6.09258350573088,628.075122833252,1206.8705558776855,496,96
TP2 H200 NVLink,1,1,21,A,aggregator,5.900307672764551,658.7605476379395,2918.5783863067627,596,384
TP2 H200 NVLink,1,1,22,P,planner,5.246708609841087,573.4865665435791,862.0555400848389,38,56
TP2 H200 NVLink,1,1,22,E0,executor,6.307351589202881,574.3975639343262,1205.1327228546143,100,101
TP2 H200 NVLink,1,1,22,E1,executor,6.745409965515137,629.57763671875,1034.3022346496582,205,61
TP2 H200 NVLink,1,1,22,A,aggregator,6.119309992030047,624.2709159851074,1890.9680843353271,270,208
TP2 H200 NVLink,1,1,23,P,planner,11.090489534231333,574.0506649017334,862.403392791748,45,27
TP2 H200 NVLink,1,1,23,E0,executor,8.487925809972426,574.0723609924316,862.6618385314941,78,35
TP2 H200 NVLink,1,1,23,E1,executor,4.9185653527577715,573.7755298614502,691.8210983276367,117,25
TP2 H200 NVLink,1,1,23,A,aggregator,5.565932818821499,629.2917728424072,863.0609512329102,146,43
TP2 H200 NVLink,1,1,24,P,planner,5.645294768691321,661.8552207946777,3264.336109161377,1125,462
TP2 H200 NVLink,1,1,24,E0,executor,11.43655776977539,696.9637870788574,868.5121536254883,1593,16
TP2 H200 NVLink,1,1,24,E1,executor,11.423778533935547,698.0082988739014,869.3649768829346,1614,16
TP2 H200 NVLink,1,1,24,A,aggregator,13.419040044148764,667.5031185150146,868.7887191772461,1635,16
TP2 H200 NVLink,1,1,25,P,planner,8.016783056907283,573.1720924377441,1398.9007472991943,44,104
TP2 H200 NVLink,1,1,25,E0,executor,5.542894817133832,634.1314315795898,1892.3685550689697,154,228
TP2 H200 NVLink,1,1,25,E1,executor,6.399676606461808,627.7825832366943,864.5706176757812,386,38
TP2 H200 NVLink,1,1,25,A,aggregator,5.875594450003935,630.0809383392334,2234.1182231903076,428,274
TP2 H200 NVLink,1,1,26,P,planner,5.828516557812691,630.6619644165039,1376.7120838165283,144,129
TP2 H200 NVLink,1,1,26,E0,executor,5.591390224603506,624.73464012146,1206.2392234802246,279,105
TP2 H200 NVLink,1,1,26,E1,executor,5.585037744962252,625.8227825164795,1206.6667079925537,388,105
TP2 H200 NVLink,1,1,26,A,aggregator,5.586638828176906,626.2550354003906,6341.386556625366,497,1024
TP2 H200 NVLink,1,1,27,P,planner,5.48206056867327,629.4047832489014,1205.0211429595947,219,106
TP2 H200 NVLink,1,1,27,E0,executor,6.3617257346883855,631.3824653625488,1719.2375659942627,331,172
TP2 H200 NVLink,1,1,27,E1,executor,5.312736932333413,626.6794204711914,1035.7601642608643,507,78
TP2 H200 NVLink,1,1,27,A,aggregator,5.69812057692146,657.9074859619141,4629.497528076172,589,698
TP2 H200 NVLink,1,1,28,P,planner,6.0743296400029605,634.6259117126465,1205.6128978729248,146,95
TP2 H200 NVLink,1,1,28,E0,executor,5.636409156680725,631.5059661865234,1719.3329334259033,247,194
TP2 H200 NVLink,1,1,28,E1,executor,8.548165361086527,625.1184940338135,1035.4304313659668,445,49
TP2 H200 NVLink,1,1,28,A,aggregator,5.830057205692414,626.0695457458496,1891.1919593811035,498,218
TP2 H200 NVLink,1,1,29,P,planner,5.5623600880304975,574.6855735778809,1375.6654262542725,48,145
TP2 H200 NVLink,1,1,29,E0,executor,5.551791833236257,634.9003314971924,7025.012731552124,199,1152
TP2 H200 NVLink,1,1,29,E1,executor,5.699142093433089,693.5329437255859,5999.434232711792,1355,932
TP2 H200 NVLink,1,1,29,A,aggregator,13.055006663004557,674.3655204772949,870.1906204223633,2292,16
TP2 H200 NVLink,1,1,30,P,planner,5.96842042642747,630.9945583343506,1890.3312683105469,198,212
TP2 H200 NVLink,1,1,30,E0,executor,5.574181216403776,625.3883838653564,1890.7275199890137,416,228
TP2 H200 NVLink,1,1,30,E1,executor,5.562780797481537,659.5137119293213,1549.5586395263672,648,161
TP2 H200 NVLink,1,1,30,A,aggregator,5.720093501564163,694.2839622497559,5144.516706466675,813,779
TP2 H200 NVLink,1,1,31,P,planner,5.879557862573741,573.9953517913818,862.0936870574951,37,50
TP2 H200 NVLink,1,1,31,E0,executor,5.527248053715147,574.5699405670166,1376.020908355713,93,146
TP2 H200 NVLink,1,1,31,E1,executor,6.850908784305348,630.6805610656738,863.6114597320557,243,35
TP2 H200 NVLink,1,1,31,A,aggregator,6.369596303895462,623.882532119751,1719.4530963897705,282,173
TP2 H200 NVLink,1,1,32,P,planner,6.85444332304455,574.326753616333,862.2133731842041,51,43
TP2 H200 NVLink,1,1,32,E0,executor,0.22149085998535156,691.1125183105469,691.3340091705322,100,2
TP2 H200 NVLink,1,1,32,E1,executor,0.2570152282714844,691.2660598754883,691.5230751037598,106,2
TP2 H200 NVLink,1,1,32,A,aggregator,8.218973875045776,573.9564895629883,1034.2190265655518,112,57
TP2 H200 NVLink,1,1,33,P,planner,6.980321624062278,572.7837085723877,1033.484935760498,55,67
TP2 H200 NVLink,1,1,33,E0,executor,6.636852441832077,577.2151947021484,862.5998497009277,128,44
TP2 H200 NVLink,1,1,33,E1,executor,5.751359462738037,632.6141357421875,862.668514251709,176,41
TP2 H200 NVLink,1,1,33,A,aggregator,5.4989342506115255,638.6144161224365,1210.5035781860352,221,105
TP2 H200 NVLink,1,1,34,P,planner,5.543125485910953,574.657678604126,3429.3673038482666,57,516
TP2 H200 NVLink,1,1,34,E0,executor,5.480655134981695,663.245439529419,3261.075973510742,579,475
TP2 H200 NVLink,1,1,34,E1,executor,6.459635008805953,697.0255374908447,1724.1075038909912,1058,160
TP2 H200 NVLink,1,1,34,A,aggregator,5.578930060221159,700.05202293396,6518.876075744629,1222,1044
TP2 H200 NVLink,1,1,35,P,planner,5.538018353014107,573.8651752471924,1033.5206985473633,48,84
TP2 H200 NVLink,1,1,35,E0,executor,6.033412577432879,628.8571357727051,1889.8403644561768,138,210
TP2 H200 NVLink,1,1,35,E1,executor,5.429632523480584,625.2903938293457,1548.327922821045,352,171
TP2 H200 NVLink,1,1,35,A,aggregator,5.50884147743126,625.9431838989258,2746.847152709961,527,386
TP2 H200 NVLink,1,1,36,P,planner,6.513585749360704,572.669267654419,1204.4870853424072,48,98
TP2 H200 NVLink,1,1,36,E0,executor,5.866641930008845,629.9853324890137,3088.1083011627197,152,420
TP2 H200 NVLink,1,1,36,E1,executor,5.591468645794557,657.1674346923828,2916.120767593384,576,405
TP2 H200 NVLink,1,1,36,A,aggregator,5.565877575492194,692.3184394836426,5484.539031982422,985,862
TP2 H200 NVLink,1,1,37,P,planner,6.060381089487383,623.6591339111328,1375.1463890075684,447,125
TP2 H200 NVLink,1,1,37,E0,executor,5.56172003411943,656.2285423278809,2402.608633041382,578,315
TP2 H200 NVLink,1,1,37,E1,executor,5.991250276565552,695.2972412109375,1893.5472965240479,897,201
TP2 H200 NVLink,1,1,37,A,aggregator,5.5415327515082335,665.9078598022461,6512.224912643433,1102,1056
TP2 H200 NVLink,1,1,38,P,planner,6.836590943513094,637.9420757293701,1376.2938976287842,192,109
TP2 H200 NVLink,1,1,38,E0,executor,5.5566758945070465,629.5812129974365,5141.602039337158,307,813
TP2 H200 NVLink,1,1,38,E1,executor,5.547159949675301,668.0588722229004,7369.028091430664,1124,1209
TP2 H200 NVLink,1,1,38,A,aggregator,11.420885721842447,720.6904888153076,892.0037746429443,2337,16
TP2 H200 NVLink,1,1,39,P,planner,5.6054108626359,574.0954875946045,1375.669240951538,51,144
TP2 H200 NVLink,1,1,39,E0,executor,5.5331031614322725,630.5840015411377,13865.766763687134,201,2393
TP2 H200 NVLink,1,1,39,E1,executor,11.433060963948568,705.6846618652344,877.1805763244629,2598,16
TP2 H200 NVLink,1,1,39,A,aggregator,11.649290720621744,719.857931137085,894.5972919464111,2619,16
TP2 H200 NVLink,1,1,40,P,planner,5.484630395700266,634.4590187072754,1243.2529926300049,208,112
TP2 H200 NVLink,1,1,40,E0,executor,6.9160898891064,624.5718002319336,1378.4255981445312,326,110
TP2 H200 NVLink,1,1,40,E1,executor,6.451508320799661,633.7838172912598,1336.9982242584229,440,110
TP2 H200 NVLink,1,1,40,A,aggregator,6.682409059017076,657.5431823730469,1385.9257698059082,554,110
TP2 H200 NVLink,1,1,41,P,planner,5.842987980161395,579.2548656463623,1560.8768463134766,82,169
TP2 H200 NVLink,1,1,41,E0,executor,5.729517896859426,630.9285163879395,2687.8254413604736,257,360
TP2 H200 NVLink,1,1,41,E1,executor,5.843095460642015,663.4085178375244,2761.079788208008,621,360
TP2 H200 NVLink,1,1,41,A,aggregator,5.630491835825291,715.7182693481445,2737.064838409424,985,360
TP2 H200 NVLink,1,1,42,P,planner,7.567473433234475,577.6748657226562,1243.61252784729,60,89
TP2 H200 NVLink,1,1,42,E0,executor,5.646376258995617,669.6972846984863,4814.1374588012695,155,735
TP2 H200 NVLink,1,1,42,E1,executor,6.232196634465998,716.465950012207,1264.8992538452148,894,89
TP2 H200 NVLink,1,1,42,A,aggregator,5.5920643362439115,708.5323333740234,2089.7722244262695,987,248
TP2 H200 NVLink,1,1,43,P,planner,5.8995207695111835,633.4466934204102,1494.776725769043,391,147
TP2 H200 NVLink,1,1,43,E0,executor,5.744205902670031,635.627031326294,3708.7771892547607,544,536
TP2 H200 NVLink,1,1,43,E1,executor,5.7794445304460424,702.2237777709961,2852.177143096924,1084,373
TP2 H200 NVLink,1,1,43,A,aggregator,5.693950182125892,706.6960334777832,3012.7458572387695,1461,406
TP2 H200 NVLink,1,1,44,P,planner,5.555807688589872,583.8899612426758,1745.053768157959,50,210
TP2 H200 NVLink,1,1,44,E0,executor,5.980771472196624,637.5992298126221,1911.503553390503,266,214
TP2 H200 NVLink,1,1,44,E1,executor,6.720211880266174,625.0653266906738,1438.2109642028809,484,122
TP2 H200 NVLink,1,1,44,A,aggregator,5.542296469211578,693.5219764709473,5127.35915184021,610,801
TP2 H200 NVLink,1,1,45,P,planner,5.7309220818912285,572.9036331176758,1547.1603870391846,68,171
TP2 H200 NVLink,1,1,45,E0,executor,5.495735190131447,630.8584213256836,3532.606601715088,245,529
TP2 H200 NVLink,1,1,45,E1,executor,42.916715145111084,727.7407646179199,899.4076251983643,778,5
TP2 H200 NVLink,1,1,45,A,aggregator,6.114176448236065,700.1755237579346,2650.5978107452393,787,320
TP2 H200 NVLink,1,1,46,P,planner,6.501871405295955,593.1878089904785,1262.880563735962,85,104
TP2 H200 NVLink,1,1,46,E0,executor,5.892748895444368,647.2177505493164,1542.9155826568604,195,153
TP2 H200 NVLink,1,1,46,E1,executor,36.61322593688965,619.4229125976562,692.6493644714355,352,3
TP2 H200 NVLink,1,1,46,A,aggregator,5.833827532254732,624.4869232177734,1382.8845024108887,359,131
TP2 H200 NVLink,1,1,47,P,planner,6.25422213337209,572.3960399627686,1204.0724754333496,53,102
TP2 H200 NVLink,1,1,47,E0,executor,5.380241133326249,628.178596496582,1376.0321140289307,161,140
TP2 H200 NVLink,1,1,47,E1,executor,5.775703510767977,624.025821685791,1034.1007709503174,305,72
TP2 H200 NVLink,1,1,47,A,aggregator,5.680035322140425,631.5579414367676,2403.72896194458,381,313
TP2 H200 NVLink,1,1,48,P,planner,7.288561591619177,628.931999206543,1204.728364944458,130,80
TP2 H200 NVLink,1,1,48,E0,executor,6.119842224932731,630.134105682373,1205.3992748260498,216,95
TP2 H200 NVLink,1,1,48,E1,executor,6.322329785643506,624.3066787719727,1376.6639232635498,315,120
TP2 H200 NVLink,1,1,48,A,aggregator,5.620531624343795,624.136209487915,1731.3809394836426,439,198
TP2 H200 NVLink,1,1,49,P,planner,6.353081726446384,615.7443523406982,1136.6970539093018,88,83
TP2 H200 NVLink,1,1,49,E0,executor,5.777436417418641,684.2100620269775,1129.072666168213,177,78
TP2 H200 NVLink,1,1,49,E1,executor,8.914399147033691,663.3200645446777,752.4640560150146,259,11
TP2 H200 NVLink,1,1,49,A,aggregator,6.856961128039238,654.3288230895996,1456.5932750701904,274,118
TP2 H200 NVLink,1,1,50,P,planner,6.120134802425609,578.5744190216064,1723.0396270751953,47,188
TP2 H200 NVLink,1,1,50,E0,executor,5.564627152649362,629.5332908630371,6850.786447525024,241,1119
TP2 H200 NVLink,1,1,50,E1,executor,5.695766807339248,695.5626010894775,5303.437948226929,1364,810
TP2 H200 NVLink,1,1,50,A,aggregator,16.002766291300457,727.0879745483398,967.1294689178467,2179,16
TP2 H200 NVLink,1,1,51,P,planner,5.82313839393326,774.9500274658203,1695.0058937072754,1326,159
TP2 H200 NVLink,1,1,51,E0,executor,6.336978924127273,697.6840496063232,1724.2746353149414,1491,163
TP2 H200 NVLink,1,1,51,E1,executor,5.993606270970525,665.3361320495605,1552.3898601531982,1658,149
TP2 H200 NVLink,1,1,51,A,aggregator,11.422554651896158,704.6449184417725,875.9832382202148,1812,16
TP2 H200 NVLink,1,1,52,P,planner,6.322075338924632,624.5071887969971,1376.8341541290283,318,120
TP2 H200 NVLink,1,1,52,E0,executor,5.728026982900259,626.1851787567139,2745.5551624298096,444,371
TP2 H200 NVLink,1,1,52,E1,executor,7.205998270135177,694.2739486694336,1378.8437843322754,819,96
TP2 H200 NVLink,1,1,52,A,aggregator,5.843678777686722,694.6773529052734,3487.9558086395264,919,479
TP2 H200 NVLink,1,1,53,P,planner,5.594620458799587,680.5400848388672,10012.367010116577,380,1669
TP2 H200 NVLink,1,1,53,E0,executor,11.437225341796875,706.357479095459,877.9158592224121,2055,16
TP2 H200 NVLink,1,1,53,E1,executor,11.425034205118815,701.3022899627686,872.6778030395508,2076,16
TP2 H200 NVLink,1,1,53,A,aggregator,11.426369349161783,698.9011764526367,870.2967166900635,2097,16
TP2 H200 NVLink,1,1,54,P,planner,6.083004176616669,574.1322040557861,1547.4128723144531,56,161
