config,input_len,batch_size,output_len,tpot_mean_ms,tpot_p50_ms,ttft_single_ms,ttft_mean_ms,gen_tps,sys_tpot_ms,e2e_mean_ms
TP2 H200 NVLink,128,1,128,5.83,5.83,465.59,465.59,106.1,9.42,1206.13
TP2 H200 NVLink,128,8,128,6.46,6.31,532.86,538.75,733.8,1.36,1359.02
TP2 H200 NVLink,128,16,128,6.85,6.97,448.46,564.61,1379.6,0.72,1434.42
TP2 H200 NVLink,128,32,128,7.79,7.28,450.4,666.27,2309.6,0.43,1655.32
TP2 H200 NVLink,128,64,128,9.94,9.52,533.85,833.83,3782.1,0.26,2096.38
TP2 H200 NVLink,512,1,128,5.93,5.93,454.08,454.08,106.0,9.44,1207.69
TP2 H200 NVLink,512,8,128,6.37,6.34,533.41,535.9,735.8,1.36,1345.38
TP2 H200 NVLink,512,16,128,7.03,7.07,453.8,556.32,1372.7,0.73,1449.64
TP2 H200 NVLink,512,32,128,7.86,7.22,454.4,679.31,2244.9,0.45,1677.85
TP2 H200 NVLink,512,64,128,10.3,10.27,534.24,909.32,3475.3,0.29,2217.05
TP2 H200 NVLink,2048,1,128,6.32,6.32,411.14,411.14,105.4,9.48,1213.81
TP2 H200 NVLink,2048,8,128,6.95,6.93,405.42,604.28,638.5,1.57,1486.46
TP2 H200 NVLink,2048,16,128,7.66,7.89,411.08,673.55,1130.0,0.88,1646.78
TP2 H200 NVLink,2048,32,128,8.84,8.85,409.55,824.35,1895.9,0.53,1947.65
TP2 H200 NVLink,2048,64,128,10.05,9.56,413.61,996.36,3375.3,0.3,2272.29
TP2-DP4-EP H200 NVLink,128,1,128,8.15,8.15,69.04,0.0,112.5,8.15,1103.58
TP2-DP4-EP H200 NVLink,128,16,128,10.15,10.18,69.04,0.0,1505.3,0.66,1298.84
TP2-DP4-EP H200 NVLink,128,32,128,10.5,10.53,69.04,0.0,2901.7,0.34,1344.32
TP2-DP4-EP H200 NVLink,128,64,128,11.72,11.74,69.04,0.0,5224.6,0.19,1500.61
TP2-DP4-EP H200 NVLink,512,1,128,7.95,7.95,161.41,0.0,104.8,7.95,1170.63
