req_id,input_len,output_len,concurrency_group,start_ts,end_ts,status,prompt_tokens,completion_tokens
r_008c_8192i_64o_low_00,8192,64,8,2026-02-25T22:41:13.320268+00:00,2026-02-25T22:41:17.098129+00:00,ok,8199,64
r_008c_8192i_64o_high_00,8192,64,8,2026-02-25T22:41:13.323284+00:00,2026-02-25T22:41:17.115338+00:00,ok,8241,64
r_008c_8192i_128o_low_00,8192,128,8,2026-02-25T22:41:13.323794+00:00,2026-02-25T22:41:21.298239+00:00,ok,8197,128
r_008c_8192i_128o_high_00,8192,128,8,2026-02-25T22:41:13.324210+00:00,2026-02-25T22:41:21.307632+00:00,ok,8239,128
r_008c_16384i_64o_low_00,16384,64,8,2026-02-25T22:41:13.324594+00:00,2026-02-25T22:41:17.161583+00:00,ok,16376,64
r_008c_16384i_64o_high_00,16384,64,8,2026-02-25T22:41:13.325168+00:00,2026-02-25T22:41:17.180580+00:00,ok,16418,64
r_008c_16384i_128o_low_00,16384,128,8,2026-02-25T22:41:13.325835+00:00,2026-02-25T22:41:21.369125+00:00,ok,16377,128
r_008c_16384i_128o_high_00,16384,128,8,2026-02-25T22:41:13.326430+00:00,2026-02-25T22:41:21.367958+00:00,ok,16419,128
r_008c_30720i_64o_low_00,30720,64,8,2026-02-25T22:41:17.098201+00:00,2026-02-25T22:41:21.490312+00:00,ok,30688,64
r_008c_30720i_64o_high_00,30720,64,8,2026-02-25T22:41:17.115390+00:00,2026-02-25T22:41:21.521482+00:00,ok,30727,64
r_008c_30720i_128o_low_00,30720,128,8,2026-02-25T22:41:17.161632+00:00,2026-02-25T22:41:22.022212+00:00,ok,30687,128
r_008c_30720i_128o_high_00,30720,128,8,2026-02-25T22:41:17.180636+00:00,2026-02-25T22:41:22.023919+00:00,ok,30731,128
r_016c_8192i_64o_low_00,8192,64,16,2026-02-25T22:41:24.095002+00:00,2026-02-25T22:41:30.051755+00:00,ok,8198,64
r_016c_8192i_64o_high_00,8192,64,16,2026-02-25T22:41:24.096210+00:00,2026-02-25T22:41:30.076185+00:00,ok,8241,64
r_016c_8192i_128o_low_00,8192,128,16,2026-02-25T22:41:24.097112+00:00,2026-02-25T22:41:30.745072+00:00,ok,8199,128
r_016c_8192i_128o_high_00,8192,128,16,2026-02-25T22:41:24.097979+00:00,2026-02-25T22:41:30.754658+00:00,ok,8241,128
r_016c_16384i_64o_low_00,16384,64,16,2026-02-25T22:41:24.098769+00:00,2026-02-25T22:41:30.260807+00:00,ok,16377,64
r_016c_16384i_64o_high_00,16384,64,16,2026-02-25T22:41:24.100096+00:00,2026-02-25T22:41:30.114648+00:00,ok,16419,64
r_016c_16384i_128o_low_00,16384,128,16,2026-02-25T22:41:24.101569+00:00,2026-02-25T22:41:30.773893+00:00,ok,16377,128
r_016c_16384i_128o_high_00,16384,128,16,2026-02-25T22:41:24.102906+00:00,2026-02-25T22:41:30.772136+00:00,ok,16420,128
r_016c_30720i_64o_low_00,30720,64,16,2026-02-25T22:41:24.104149+00:00,2026-02-25T22:41:30.194615+00:00,ok,30686,64
r_016c_30720i_64o_high_00,30720,64,16,2026-02-25T22:41:24.107515+00:00,2026-02-25T22:41:30.203857+00:00,ok,30726,64
r_016c_30720i_128o_low_00,30720,128,16,2026-02-25T22:41:24.109339+00:00,2026-02-25T22:41:30.829895+00:00,ok,30688,128
r_016c_30720i_128o_high_00,30720,128,16,2026-02-25T22:41:24.111244+00:00,2026-02-25T22:41:30.836268+00:00,ok,30730,128
r_032c_8192i_64o_low_00,8192,64,32,2026-02-25T22:41:32.907758+00:00,2026-02-25T22:41:38.794794+00:00,ok,8198,64
