benchmark,concurrency,session_id,turn,prompt_tokens,completion_tokens,cumulative_context_tokens,latency_s,status
swebench,1,0,0,179,256,435,1.781,ok
swebench,1,0,1,3443,256,3699,1.936,ok
swebench,1,0,2,8997,256,9253,2.059,ok
swebench,1,0,3,16739,256,16995,2.173,ok
swebench,1,0,4,26722,256,26978,2.287,ok
swebench,1,0,5,0,0,0,0.09860825538635254,error:http_400
swebench,2,0,0,179,256,435,2.112,ok
swebench,2,0,1,3494,256,3750,2.439,ok
swebench,2,0,2,8990,256,9246,2.601,ok
swebench,2,0,3,16813,256,17069,2.788,ok
swebench,2,0,4,26738,256,26994,2.948,ok
swebench,2,0,5,0,0,0,0.0948493480682373,error:http_400
swebench,2,1,0,179,256,435,2.125,ok
swebench,2,1,1,3503,256,3759,2.439,ok
swebench,2,1,2,9003,256,9259,2.601,ok
swebench,2,1,3,16703,256,16959,2.789,ok
swebench,2,1,4,26780,256,27036,2.95,ok
swebench,2,1,5,0,0,0,0.1446981430053711,error:http_400
swebench,4,0,0,179,256,435,2.293,ok
swebench,4,0,1,3492,256,3748,2.862,ok
swebench,4,0,2,9044,256,9300,3.246,ok
swebench,4,0,3,16849,256,17105,3.554,ok
swebench,4,0,4,26826,256,27082,4.036,ok
swebench,4,0,5,0,0,0,0.23224234580993652,error:http_400
swebench,4,1,0,179,256,435,2.27,ok
swebench,4,1,1,3477,256,3733,2.857,ok
swebench,4,1,2,9029,256,9285,3.243,ok
swebench,4,1,3,16721,256,16977,3.551,ok
swebench,4,1,4,26790,256,27046,4.031,ok
swebench,4,1,5,0,0,0,0.09983253479003906,error:http_400
swebench,4,2,0,179,256,435,2.289,ok
swebench,4,2,1,3463,256,3719,2.858,ok
swebench,4,2,2,9004,256,9260,3.245,ok
swebench,4,2,3,16889,256,17145,3.552,ok
swebench,4,2,4,26922,256,27178,4.033,ok
swebench,4,2,5,0,0,0,0.14875125885009766,error:http_400
swebench,4,3,0,179,256,435,2.287,ok
swebench,4,3,1,3446,256,3702,2.856,ok
swebench,4,3,2,8827,256,9083,3.241,ok
swebench,4,3,3,16592,256,16848,3.553,ok
swebench,4,3,4,26698,256,26954,4.031,ok
swebench,4,3,5,0,0,0,0.15792417526245117,error:http_400
swebench,8,0,0,179,256,435,2.599,ok
swebench,8,0,1,3485,256,3741,3.611,ok
swebench,8,0,2,9068,256,9324,4.373,ok
swebench,8,0,3,16689,256,16945,7.736,ok
swebench,8,0,4,26686,256,26942,5.936,ok
swebench,8,0,5,0,0,0,0.2079019546508789,error:http_400
swebench,8,1,0,179,256,435,2.569,ok
swebench,8,1,1,3473,256,3729,3.607,ok
swebench,8,1,2,8999,256,9255,4.362,ok
swebench,8,1,3,16867,256,17123,7.738,ok
swebench,8,1,4,26780,256,27036,5.933,ok
swebench,8,1,5,0,0,0,0.11920046806335449,error:http_400
swebench,8,2,0,179,256,435,2.596,ok
swebench,8,2,1,3540,256,3796,3.604,ok
swebench,8,2,2,9118,256,9374,4.37,ok
swebench,8,2,3,16781,256,17037,7.74,ok
swebench,8,2,4,26779,256,27035,5.934,ok
swebench,8,2,5,0,0,0,0.14743685722351074,error:http_400
swebench,8,3,0,179,256,435,2.593,ok
swebench,8,3,1,3475,256,3731,3.603,ok
swebench,8,3,2,9037,256,9293,4.361,ok
swebench,8,3,3,16754,256,17010,7.738,ok
swebench,8,3,4,26834,256,27090,5.933,ok
swebench,8,3,5,0,0,0,0.16158270835876465,error:http_400
swebench,8,4,0,179,256,435,2.604,ok
swebench,8,4,1,3451,256,3707,3.616,ok
swebench,8,4,2,9001,256,9257,4.374,ok
swebench,8,4,3,16738,256,16994,7.756,ok
swebench,8,4,4,26753,256,27009,5.955,ok
swebench,8,4,5,0,0,0,0.36219143867492676,error:http_400
swebench,8,5,0,179,256,435,2.598,ok
swebench,8,5,1,3494,256,3750,3.614,ok
swebench,8,5,2,8964,256,9220,4.375,ok
swebench,8,5,3,16789,256,17045,7.738,ok
swebench,8,5,4,26762,256,27018,5.949,ok
swebench,8,5,5,0,0,0,0.1876828670501709,error:http_400
swebench,8,6,0,179,256,435,2.601,ok
swebench,8,6,1,3491,256,3747,3.622,ok
swebench,8,6,2,8990,256,9246,4.379,ok
swebench,8,6,3,16701,256,16957,7.732,ok
swebench,8,6,4,26736,256,26992,5.952,ok
swebench,8,6,5,0,0,0,0.24834537506103516,error:http_400
swebench,8,7,0,179,256,435,2.602,ok
swebench,8,7,1,3488,256,3744,3.625,ok
swebench,8,7,2,8998,256,9254,4.38,ok
swebench,8,7,3,16858,256,17114,7.735,ok
swebench,8,7,4,26941,256,27197,5.952,ok
swebench,8,7,5,0,0,0,0.24142765998840332,error:http_400
swebench,16,0,0,179,256,435,2.987,ok
swebench,16,0,1,3414,256,3670,5.154,ok
swebench,16,0,2,8899,256,9155,6.568,ok
swebench,16,0,3,16675,256,16931,8.049,ok
swebench,16,0,4,26628,256,26884,9.956,ok
swebench,16,0,5,0,0,0,0.14261078834533691,error:http_400
swebench,16,1,0,179,256,435,2.942,ok
swebench,16,1,1,3472,256,3728,5.167,ok
swebench,16,1,2,9061,256,9317,6.559,ok
swebench,16,1,3,16782,256,17038,8.046,ok
swebench,16,1,4,26692,256,26948,9.953,ok
swebench,16,1,5,0,0,0,0.1128995418548584,error:http_400
swebench,16,2,0,179,256,435,2.993,ok
swebench,16,2,1,3457,256,3713,5.156,ok
swebench,16,2,2,8995,256,9251,6.57,ok
swebench,16,2,3,16741,256,16997,8.049,ok
swebench,16,2,4,26729,256,26985,9.96,ok
swebench,16,2,5,0,0,0,0.19354724884033203,error:http_400
swebench,16,3,0,179,256,435,2.99,ok
swebench,16,3,1,3505,256,3761,5.409,ok
swebench,16,3,2,9059,256,9315,6.76,ok
swebench,16,3,3,16815,256,17071,8.053,ok
swebench,16,3,4,26908,256,27164,9.682,ok
swebench,16,3,5,0,0,0,0.5543909072875977,error:http_400
swebench,16,4,0,179,256,435,3.003,ok
swebench,16,4,1,3457,256,3713,5.162,ok
swebench,16,4,2,9013,256,9269,6.567,ok
swebench,16,4,3,16759,256,17015,8.092,ok
swebench,16,4,4,26859,256,27115,9.947,ok
swebench,16,4,5,0,0,0,0.22797608375549316,error:http_400
swebench,16,5,0,179,256,435,2.991,ok
swebench,16,5,1,3487,256,3743,5.182,ok
swebench,16,5,2,9017,256,9273,6.579,ok
swebench,16,5,3,16803,256,17059,8.076,ok
swebench,16,5,4,26754,256,27010,9.973,ok
swebench,16,5,5,0,0,0,0.27545642852783203,error:http_400
swebench,16,6,0,179,256,435,2.993,ok
swebench,16,6,1,3448,256,3704,5.211,ok
swebench,16,6,2,9009,256,9265,6.577,ok
swebench,16,6,3,16691,256,16947,8.1,ok
swebench,16,6,4,26737,256,26993,9.977,ok
swebench,16,6,5,0,0,0,0.38091301918029785,error:http_400
swebench,16,7,0,179,256,435,2.987,ok
swebench,16,7,1,3466,256,3722,5.163,ok
swebench,16,7,2,8973,256,9229,6.573,ok
swebench,16,7,3,16715,256,16971,8.057,ok
swebench,16,7,4,26668,256,26924,9.961,ok
swebench,16,7,5,0,0,0,0.17920684814453125,error:http_400
swebench,16,8,0,179,256,435,3.0,ok
swebench,16,8,1,3490,256,3746,5.189,ok
swebench,16,8,2,9009,256,9265,6.573,ok
swebench,16,8,3,16827,256,17083,8.084,ok
swebench,16,8,4,26770,256,27026,9.988,ok
swebench,16,8,5,0,0,0,0.3244292736053467,error:http_400
swebench,16,9,0,179,256,435,2.997,ok
swebench,16,9,1,3459,256,3715,5.212,ok
swebench,16,9,2,8953,256,9209,6.942,ok
swebench,16,9,3,16767,256,17023,7.735,ok
swebench,16,9,4,26699,256,26955,9.998,ok
swebench,16,9,5,0,0,0,0.4255411624908447,error:http_400
swebench,16,10,0,179,256,435,2.978,ok
swebench,16,10,1,3406,256,3662,5.153,ok
swebench,16,10,2,8873,256,9129,6.558,ok
swebench,16,10,3,16608,256,16864,8.048,ok
swebench,16,10,4,26583,256,26839,9.954,ok
swebench,16,10,5,0,0,0,0.15854716300964355,error:http_400
swebench,16,11,0,179,256,435,2.992,ok
swebench,16,11,1,3467,256,3723,5.184,ok
swebench,16,11,2,8943,256,9199,6.579,ok
swebench,16,11,3,16673,256,16929,8.087,ok
swebench,16,11,4,26730,256,26986,9.98,ok
swebench,16,11,5,0,0,0,0.25286865234375,error:http_400
swebench,16,12,0,179,256,435,2.997,ok
swebench,16,12,1,3503,256,3759,5.194,ok
swebench,16,12,2,8993,256,9249,6.582,ok
swebench,16,12,3,16712,256,16968,8.09,ok
swebench,16,12,4,26721,256,26977,9.979,ok
swebench,16,12,5,0,0,0,0.3162221908569336,error:http_400
swebench,16,13,0,179,256,435,2.993,ok
swebench,16,13,1,3450,256,3706,5.173,ok
swebench,16,13,2,8976,256,9232,6.578,ok
swebench,16,13,3,16723,256,16979,8.079,ok
swebench,16,13,4,26771,256,27027,9.964,ok
swebench,16,13,5,0,0,0,0.21010804176330566,error:http_400
swebench,16,14,0,179,256,435,2.994,ok
swebench,16,14,1,3496,256,3752,5.21,ok
swebench,16,14,2,9006,256,9262,6.577,ok
swebench,16,14,3,16789,256,17045,8.098,ok
swebench,16,14,4,26798,256,27054,9.991,ok
swebench,16,14,5,0,0,0,0.36278748512268066,error:http_400
