benchmark,concurrency,session_id,turn,prompt_tokens,completion_tokens,cumulative_context_tokens,latency_s,status
swebench,1,0,0,179,512,691,3.487,ok
swebench,1,0,1,6743,497,7240,3.655,ok
swebench,1,0,2,17089,512,17601,4.013,ok
swebench,1,0,3,31127,512,31639,4.198,ok
swebench,2,0,0,179,512,691,4.289,ok
swebench,2,0,1,6692,441,7133,4.189,ok
swebench,2,0,2,16865,499,17364,4.331,ok
swebench,2,0,3,30941,512,31453,5.24,ok
swebench,2,1,0,179,420,599,3.363,ok
swebench,2,1,1,6542,502,7044,4.435,ok
swebench,2,1,2,16717,512,17229,4.911,ok
swebench,2,1,3,30793,512,31305,5.327,ok
swebench,4,0,0,179,512,691,4.401,ok
swebench,4,0,1,6709,512,7221,6.211,ok
swebench,4,0,2,16909,512,17421,6.425,ok
swebench,4,0,3,30952,512,31464,5.701,ok
swebench,4,1,0,179,512,691,4.379,ok
swebench,4,1,1,6779,473,7252,5.08,ok
swebench,4,1,2,16898,512,17410,6.011,ok
swebench,4,1,3,30990,512,31502,6.885,ok
swebench,4,2,0,179,512,691,4.403,ok
swebench,4,2,1,6662,458,7120,4.963,ok
swebench,4,2,2,16945,512,17457,6.085,ok
swebench,4,2,3,30845,469,31314,6.517,ok
swebench,4,3,0,179,512,691,4.397,ok
swebench,4,3,1,6708,512,7220,6.203,ok
swebench,4,3,2,16971,512,17483,6.419,ok
swebench,4,3,3,30923,512,31435,5.705,ok
swebench,8,0,0,179,512,691,5.053,ok
swebench,8,0,1,6681,506,7187,9.035,ok
swebench,8,0,2,16926,512,17438,10.095,ok
swebench,8,0,3,30903,512,31415,6.48,ok
swebench,8,1,0,179,512,691,5.019,ok
swebench,8,1,1,6688,430,7118,6.603,ok
swebench,8,1,2,16904,512,17416,9.925,ok
swebench,8,1,3,30828,512,31340,8.345,ok
swebench,8,2,0,179,512,691,5.047,ok
swebench,8,2,1,6627,475,7102,8.312,ok
swebench,8,2,2,16879,512,17391,9.873,ok
swebench,8,2,3,30865,512,31377,7.163,ok
swebench,8,3,0,179,512,691,5.037,ok
swebench,8,3,1,6643,422,7065,6.523,ok
swebench,8,3,2,16744,450,17194,7.518,ok
swebench,8,3,3,30742,498,31240,10.138,ok
swebench,8,4,0,179,512,691,5.04,ok
swebench,8,4,1,6806,512,7318,9.126,ok
swebench,8,4,2,17043,512,17555,10.05,ok
swebench,8,4,3,31129,512,31641,6.459,ok
swebench,8,5,0,179,512,691,5.053,ok
swebench,8,5,1,6624,398,7022,5.848,ok
swebench,8,5,2,16817,506,17323,9.193,ok
swebench,8,5,3,30822,482,31304,9.306,ok
swebench,8,6,0,179,512,691,5.048,ok
swebench,8,6,1,6705,512,7217,9.111,ok
swebench,8,6,2,17061,419,17480,7.302,ok
swebench,8,6,3,31022,482,31504,8.12,ok
swebench,8,7,0,179,512,691,5.055,ok
swebench,8,7,1,6703,434,7137,7.478,ok
swebench,8,7,2,16829,480,17309,7.647,ok
swebench,8,7,3,30849,512,31361,9.56,ok
swebench,16,0,0,179,512,691,6.226,ok
swebench,16,0,1,6628,512,7140,12.701,ok
swebench,16,0,2,16944,512,17456,15.151,ok
swebench,16,0,3,31080,512,31592,11.972,ok
swebench,16,1,0,179,512,691,6.172,ok
swebench,16,1,1,6723,408,7131,8.424,ok
swebench,16,1,2,16869,452,17321,12.309,ok
swebench,16,1,3,30819,479,31298,16.233,ok
swebench,16,2,0,179,512,691,6.228,ok
swebench,16,2,1,6680,512,7192,12.686,ok
swebench,16,2,2,16890,512,17402,15.145,ok
swebench,16,2,3,30932,457,31389,11.246,ok
swebench,16,3,0,179,512,691,6.232,ok
swebench,16,3,1,6780,490,7270,11.218,ok
swebench,16,3,2,17081,500,17581,13.786,ok
swebench,16,3,3,31164,512,31676,14.419,ok
swebench,16,4,0,179,512,691,6.23,ok
swebench,16,4,1,6734,512,7246,12.75,ok
swebench,16,4,2,17000,512,17512,15.153,ok
swebench,16,4,3,30979,512,31491,11.963,ok
swebench,16,5,0,179,512,691,6.242,ok
swebench,16,5,1,6807,497,7304,11.585,ok
swebench,16,5,2,17152,512,17664,14.542,ok
swebench,16,5,3,31206,512,31718,13.399,ok
swebench,16,6,0,179,512,691,6.222,ok
swebench,16,6,1,6656,512,7168,12.677,ok
swebench,16,6,2,16924,512,17436,15.131,ok
swebench,16,6,3,31114,512,31626,11.976,ok
swebench,16,7,0,179,512,691,6.238,ok
swebench,16,7,1,6747,432,7179,9.641,ok
swebench,16,7,2,16865,477,17342,12.406,ok
swebench,16,7,3,30844,512,31356,16.154,ok
swebench,16,8,0,179,512,691,6.218,ok
swebench,16,8,1,6649,494,7143,11.217,ok
swebench,16,8,2,16856,512,17368,14.486,ok
swebench,16,8,3,30884,489,31373,13.443,ok
swebench,16,9,0,179,512,691,6.245,ok
swebench,16,9,1,6632,512,7144,12.745,ok
swebench,16,9,2,16839,512,17351,15.157,ok
swebench,16,9,3,30919,512,31431,11.961,ok
swebench,16,10,0,179,512,691,6.204,ok
swebench,16,10,1,6850,452,7302,10.221,ok
swebench,16,10,2,17036,512,17548,13.76,ok
swebench,16,10,3,30889,485,31374,14.567,ok
swebench,16,11,0,179,512,691,6.207,ok
swebench,16,11,1,6696,512,7208,13.099,ok
swebench,16,11,2,16993,512,17505,15.166,ok
swebench,16,11,3,31038,512,31550,11.643,ok
swebench,16,12,0,179,512,691,6.231,ok
swebench,16,12,1,6646,512,7158,12.7,ok
