benchmark,concurrency,session_id,turn,prompt_tokens,completion_tokens,cumulative_context_tokens,latency_s,status
swebench,32,0,0,179,512,691,9.92,ok
swebench,32,0,1,6741,432,7173,18.059,ok
swebench,32,0,2,16928,512,17440,32.505,ok
swebench,32,0,3,30937,512,31449,36.581,ok
swebench,32,1,0,179,370,549,5.483,ok
swebench,32,1,1,6499,512,7011,17.517,ok
swebench,32,1,2,16769,512,17281,26.522,ok
swebench,32,1,3,30836,512,31348,37.991,ok
swebench,32,2,0,179,512,691,9.938,ok
swebench,32,2,1,6694,122,6816,7.859,ok
swebench,32,2,2,16522,132,16654,2.891,ok
swebench,32,2,3,30065,113,30178,5.224,ok
swebench,32,3,0,179,467,646,8.502,ok
swebench,32,3,1,6689,512,7201,19.51,ok
swebench,32,3,2,16940,512,17452,32.798,ok
swebench,32,3,3,30947,512,31459,36.331,ok
swebench,32,4,0,179,512,691,9.919,ok
swebench,32,4,1,6699,512,7211,26.724,ok
swebench,32,4,2,16962,512,17474,36.219,ok
swebench,32,4,3,30935,512,31447,30.916,ok
swebench,32,5,0,179,502,681,9.363,ok
swebench,32,5,1,6733,512,7245,23.107,ok
swebench,32,5,2,17061,512,17573,34.824,ok
swebench,32,5,3,31011,512,31523,30.916,ok
swebench,32,6,0,179,512,691,9.921,ok
swebench,32,6,1,6689,445,7134,18.18,ok
swebench,32,6,2,16835,512,17347,33.032,ok
swebench,32,6,3,30951,512,31463,36.215,ok
swebench,32,7,0,179,512,691,9.91,ok
swebench,32,7,1,6718,411,7129,16.159,ok
swebench,32,7,2,16913,439,17352,21.395,ok
swebench,32,7,3,30839,471,31310,36.009,ok
swebench,32,8,0,179,512,691,9.892,ok
swebench,32,8,1,6688,472,7160,21.172,ok
swebench,32,8,2,16873,512,17385,33.711,ok
swebench,32,8,3,30936,512,31448,33.314,ok
swebench,32,9,0,179,415,594,6.785,ok
swebench,32,9,1,6670,480,7150,17.287,ok
swebench,32,9,2,16886,512,17398,27.482,ok
swebench,32,9,3,30948,512,31460,38.799,ok
swebench,32,10,0,179,512,691,9.935,ok
swebench,32,10,1,6694,449,7143,20.375,ok
swebench,32,10,2,16818,477,17295,27.254,ok
swebench,32,10,3,30776,512,31288,37.27,ok
swebench,32,11,0,179,512,691,9.906,ok
swebench,32,11,1,6785,469,7254,21.55,ok
swebench,32,11,2,16934,512,17446,33.64,ok
swebench,32,11,3,30931,512,31443,33.055,ok
swebench,32,12,0,179,512,691,9.865,ok
swebench,32,12,1,6701,512,7213,24.85,ok
swebench,32,12,2,16894,512,17406,35.526,ok
swebench,32,12,3,30964,512,31476,32.813,ok
swebench,32,13,0,179,512,691,9.929,ok
swebench,32,13,1,6705,487,7192,23.283,ok
swebench,32,13,2,17037,484,17521,31.255,ok
swebench,32,13,3,30992,512,31504,33.562,ok
swebench,32,14,0,179,512,691,9.926,ok
swebench,32,14,1,6691,484,7175,23.194,ok
swebench,32,14,2,16846,509,17355,35.248,ok
swebench,32,14,3,30910,508,31418,32.854,ok
swebench,32,15,0,179,512,691,9.842,ok
swebench,32,15,1,6738,512,7250,24.855,ok
swebench,32,15,2,17061,512,17573,35.525,ok
swebench,32,15,3,30962,512,31474,32.789,ok
swebench,32,16,0,179,392,571,6.129,ok
